description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Vendo apartamento 03 quartos, 1 suíte, 104m², Vista Livre, Rua 26 Norte, Águas Claras-DF;Rua 26;Norte;167;3;1;2;1;699000;540;0;-
Apartamento para venda possui 50 metros quadrados com 2 quartos em Riacho Fundo II - Brasília - DF;QS 21 Conjunto 1;Riacho Fundo II;69;2;0;1;1;160000;0;0;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 banheiro, 1 vaga;Setor SAGOCA;Taguatinga Norte;48;2;0;1;1;125000;317;520;-
Quadra 105, Aguas Claras! 2 quatos, 1 suíte, andar alto, 2 vagas, 84m2;Rua 19;Norte;84;3;1;3;2;640000;600;800;-
Apartamento 3 quartos reformado e mobiliado 71m², no Residencial Parque das Águas;Avenida Parque Águas Claras;Norte;113;3;2;3;1;650000;750;300;-
Apartamento para venda, 1 andar, com 2 quartos sendo 1 suite, DF-425, Sobradinho/DF;Rodovia DF-425;Setor Habitacional Contagem;60;3;1;1;-;160000;-;-;-
Apartamento para venda com 57 metros quadrados com 2 quartos em Setor Sudoeste - Brasília - DF;QRSW 2 Bloco B-14;Setor Sudoeste;83;2;0;1;1;580000;470;1082;-
Apartamento à venda 3 quartos,1 suíte, 68m² QD 301 Resid.Ilha do Mel, Águas Claras - DF;Alameda Gravatá Quadra 301 Conjunto 20;Norte;120;3;1;2;2;470000;583;-;-
Rua 21, Polo de Modas, 2 quartos, térreo, reformado e desocupado! Melhor localização!;Rua 21;Guará II;55;2;0;1;0;145000;0;0;-
RUA 13/14 Norte - Apto com 3 suítes, 82m, ótimo local.;Rua 13;Norte;-;3;2;1;1;660000;685;-;-
SQS 214 com 3 quartos e vista livre - Asa Sul - Brasília - DF;SQS 214 Bloco H;Asa Sul;140;3;0;2;0;1090000;900;2000;-
Apartamento 2 quartos 716 Norte Asa Norte Brasília;SCRN 716 Bloco G;Asa Norte;56;2;-;1;-;599000;623;1000;-
Apartamento para venda com 133 metros quadrados com 3 quartos em Asa Sul - Brasília - DF;SQS 305 Bloco B;Asa Sul;-;3;1;3;0;1340000;1850;2450;-
Vista definitiva para o Parque Burle Marx - 2 quartos 1 suíte 02 vagas - Setor Noroeste;SQNW 103 Bloco D;Setor Noroeste;-;2;1;3;2;1241620;-;-;-
Residencial Residencial Tópazio Qs 519 - 2 quartos - Andar Alto;QS 519 Conjunto A;Samambaia Sul;54;2;0;1;2;235000;290;500;-
AGUAS CLARAS AVENIDA PAU BRASL RES. MONET;Avenida Pau Brasil;Norte;93;3;1;2;2;750000;698;0;-
Apartamento para venda tem 40 metros quadrados com 2 quartos;Quadra 3;Sobradinho;40;2;0;1;0;160000;-;-;-
Vende-se apartamento 2 quartos em Águas Claras;Rua 19;Norte;-;2;1;2;1;570000;400;-;-
Ap Rua 10, ✔2 quartos, ✔1 vaga ✔Elevador, ✔Móveis Planejados, 48m2, Vicente Pires-DF.;Rua 12 Chácara 317;Setor Habitacional Vicente Pires;48;2;0;1;1;250000;200;0;-
Oportunidade Apartamento de 2 quartos, la cozinha com móveis planejados e banheiro com box. cond 36;-;Riacho Fundo II;62;2;0;1;1;165000;300;202;-
Apartamento para venda tem 100 metros quadrados com 3 quartos;Rua 4A;Setor Habitacional Vicente Pires;100;3;0;1;1;300000;-;-;-
Venda apartamento com 2 quarto- possui 64 m² em Norte - Águas Claras - DF;Rua 36;Norte;84;2;1;2;2;600000;600;900;-
Apartamento para venda tem 69 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSB;Taguatinga Sul;69;2;0;1;1;260000;480;0;-
Apartamento para venda tem 50 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QS 406 Conjunto F;Samambaia Norte;62;2;0;1;1;185000;329;356;-
Lindo apartamento de 1 quarto, venda de porteira fechada. Na melhor localização de Águas Claras;Avenida das Araucárias;Sul;50;1;1;1;1;350000;390;500;-
Novo, PRONTO PARA MORAR prático e moderno apartamento 1 Quarto Life 703 Asa Norte;SCLRN 703;Asa Norte;-;1;1;1;1;594298;0;0;-
Oportunidade!!! Duplex no Top Life Beach;QI;Setor Industrial;-;2;1;3;2;500000;0;0;-
Apartamento para Venda em Brasília, Setor Meireles (Santa Maria), 3 dormitórios, 1 suíte, 1 banheiro;Avenida Monumental;Setor Meireles;80;3;1;1;1;205000;-;0;-
Apartamento para venda com 61 metros quadrados com 2 quartos em Gama - Brasília - DF;Quadra 5;Setor Industrial;78;2;1;2;1;339000;400;0;-
Residencial Spazio Brizas Águas Claras - 4 Quartos - VAZIO - 2 VAGAS;Quadra 203;Sul;94;4;1;3;2;740000;755;1164;-
Apartamento para venda com 58 metros quadrados com 2 quartos em Jardins Mangueiral - Brasília - DF;Quadra QC 10 Rua A;Jardins Mangueiral;87;2;0;1;1;295000;380;522;-
Lindos apto - Edifício Le Quartier Boulevard - 2 suites - Taguatinga Norte;CNB 6;Taguatinga Norte;98;2;2;1;1;280000;350;500;-
10 minutos do aeroporto, 03 quartos - Núcleo Bandeirante;Avenida Central Área Especial 19;Núcleo Bandeirante;-;3;0;1;0;345000;350;528;-
Apartamento para venda tem 56 metros quadrados com 3 quartos;QS 19 Conjunto 1;Riacho Fundo II;62;3;1;2;1;190000;310;250;-
